subject,stem,optionA,optionB,optionC,optionD,correctAnswer,difficulty,year,source,bankTitle,,,,,
phy,Speed of light in vacuum is?,3×10⁶,3×10⁸,3×10¹⁰,3×10⁴,3×10⁸,easy,2024,practice,Combined Set 1,,,,,
phy,Ohm’s law relates?,V=IR,I=R/V,V=IC,I=CVR,V=IR,easy,2024,practice,Combined Set 1,,,,,
phy,SI unit of resistance?,Ohm,Ampere,Volt,Watt,Ohm,easy,2024,practice,Combined Set 1,,,,,
phy,Which is a non-renewable energy?,Solar,Wind,Coal,Hydro,Coal,easy,2024,practice,Combined Set 1,,,,,
phy,Magnetic field unit is?,Tesla,Weber,Ampere,Newton,Tesla,easy,2024,practice,Combined Set 1,,,,,
phy,Power formula is?,VI,V/I,I/V,V²I,VI,easy,2024,practice,Combined Set 1,,,,,
phy,"If frequency increases, wavelength?",Increases,Decreases,Same,Zero,Decreases,medium,2024,practice,Combined Set 1,,,,,
phy,Convex lens focal length is?,Positive,Negative,Zero,Infinite,Positive,easy,2024,practice,Combined Set 1,,,,,
phy,Image formed at focus is?,Real,Virtual,Infinite,Same size,Infinite,medium,2024,practice,Combined Set 1,,,,,
phy,Which is transverse wave?,Sound,Light,Water flow,Heat,Light,easy,2024,practice,Combined Set 1,,,,,
phy,Unit of electric charge?,Coulomb,Volt,Ampere,Ohm,Coulomb,easy,2024,practice,Combined Set 1,,,,,
phy,Transformer works on?,AC,DC,Both,None,AC,easy,2024,practice,Combined Set 1,,,,,
phy,Which has maximum refractive index?,Air,Water,Glass,Diamond,Diamond,easy,2024,practice,Combined Set 1,,,,,
phy,Photon has mass?,Zero,Positive,Negative,Variable,Zero,easy,2024,practice,Combined Set 1,,,,,
phy,Nuclear fission releases?,Energy,Mass,Charge,None,Energy,easy,2024,practice,Combined Set 1,,,,,
phy,Which ray has highest penetration?,Alpha,Beta,Gamma,X-ray,Gamma,easy,2024,practice,Combined Set 1,,,,,
phy,Half-life depends on?,Temperature,Pressure,External field,Nature of nucleus,Nature of nucleus,medium,2024,practice,Combined Set 1,,,,,
chem,Which quantum number determines orbital shape?,Principal,Azimuthal,Magnetic,Spin,Azimuthal,medium,2024,practice,Combined Set 1,,,,,
chem,Maximum electrons in p-subshell?,2,4,6,8,6,easy,2024,practice,Combined Set 1,,,,,
chem,Which has highest ionization energy?,Na,Mg,Al,Si,Si,medium,2024,practice,Combined Set 1,,,,,
chem,Hybridization of carbon in ethyne is?,sp³,sp²,sp,none,sp,medium,2024,practice,Combined Set 1,,,,,
chem,pH of pure water at 25°C is?,5,6,7,8,7,easy,2024,practice,Combined Set 1,,,,,
chem,Strongest acid among following?,HCl,HNO₃,H₂SO₄,HF,H₂SO₄,medium,2024,practice,Combined Set 1,,,,,
chem,Which is NOT a buffer?,NH₄Cl + NH₄OH,CH₃COOH + CH₃COONa,NaCl + HCl,H₂CO₃ + NaHCO₃,NaCl + HCl,hard,2024,practice,Combined Set 1,,,,,
chem,Rate of reaction depends on?,Temperature,Concentration,Catalyst,All,All,easy,2024,practice,Combined Set 1,,,,,
chem,Unit of rate constant for first order reaction?,s⁻¹,Ms⁻¹,M⁻¹s⁻¹,s,s⁻¹,medium,2024,practice,Combined Set 1,,,,,
chem,Which is reducing agent?,KMnO₄,H₂O₂,Cl₂,O₂,H₂O₂,medium,2024,practice,Combined Set 1,,,,,
chem,Oxidation number of S in H₂SO₄?,+4,+6,+2,0,+6,easy,2024,practice,Combined Set 1,,,,,
chem,Which metal is extracted by electrolysis?,Iron,Copper,Aluminium,Zinc,Aluminium,easy,2024,practice,Combined Set 1,,,,,
chem,Anode in galvanic cell undergoes?,Reduction,Oxidation,Neutralization,Hydrolysis,Oxidation,medium,2024,practice,Combined Set 1,,,,,
chem,Which has highest boiling point?,CH₄,C₂H₆,C₃H₈,C₄H₁₀,C₄H₁₀,easy,2024,practice,Combined Set 1,,,,,
chem,Functional group of alcohol is?,–COOH,–CHO,–OH,–NH₂,–OH,easy,2024,practice,Combined Set 1,,,,,
chem,Which gives positive iodoform test?,Methanol,Ethanol,Propanol,Butanol,Ethanol,medium,2024,practice,Combined Set 1,,,,,
chem,Glucose is?,Ketose,Aldose,Disaccharide,Polysaccharide,Aldose,medium,2024,practice,Combined Set 1,,,,,
chem,"Nylon-6,6 is?",Addition polymer,Condensation polymer,Copolymer,None,Condensation polymer,easy,2024,practice,Combined Set 1,,,,,
chem,Which gas causes acid rain?,CO₂,SO₂,O₂,N₂,SO₂,easy,2024,practice,Combined Set 1,,,,,
chem,Ozone depletion is caused by?,CO₂,CFC,SO₂,NO₂,CFC,medium,2024,practice,Combined Set 1,,,,,
eng,Choose the correct synonym of 'ABATE',Increase,Intensify,Subside,Aggravate,Subside,hard,2024,practice,Combined Set 1,,,,,
eng,Choose the antonym of 'LUCID',Clear,Bright,Confusing,Transparent,Confusing,hard,2024,practice,Combined Set 1,,,,,
eng,He is senior ___ me.,than,to,from,with,to,hard,2024,practice,Combined Set 1,,,,,
eng,Choose the correct sentence.,Neither of the boys are guilty.,Neither of the boys is guilty.,Neither boys are guilty.,Neither boys is guilty.,Neither of the boys is guilty.,hard,2024,practice,Combined Set 1,,,,,
eng,Identify the correct passive form: 'They are repairing the road.',The road is repaired.,The road has been repaired.,The road is being repaired.,The road was repaired.,The road is being repaired.,hard,2024,practice,Combined Set 1,,,,,
eng,Choose the correct meaning of 'OBSCURE',Clear,Difficult to understand,Famous,Simple,Difficult to understand,hard,2024,practice,Combined Set 1,,,,,
eng,She speaks English ___ than her sister.,more fluently,most fluently,very fluently,fluently,more fluently,hard,2024,practice,Combined Set 1,,,,,
eng,Correct spelling?,Accomodate,Acommodate,Accommodate,Acomodate,Accommodate,hard,2024,practice,Combined Set 1,,,,,
eng,Identify the error: 'He insisted to go there.',He,insisted,to go,there,to go,hard,2024,practice,Combined Set 1,,,,,
eng,Choose the correct preposition: 'He is fond ___ music.',in,of,for,on,of,hard,2024,practice,Combined Set 1,,,,,
eng,The train arrived ___ time.,in,on,at,by,on,hard,2024,practice,Combined Set 1,,,,,
eng,Choose the correct article: '___ honest man is respected.',A,An,The,No article,An,hard,2024,practice,Combined Set 1,,,,,
eng,Meaning of 'RED HERRING',Important clue,False lead,Serious problem,Warning,False lead,hard,2024,practice,Combined Set 1,,,,,
eng,He would have passed if he ___ harder.,studies,studied,had studied,has studied,had studied,hard,2024,practice,Combined Set 1,,,,,
eng,Choose the correct word: 'She is capable ___ doing it.',to,for,of,with,of,hard,2024,practice,Combined Set 1,,,,,
